SERIAL_NO|N|1385,45,871,104|1|?
CUST_ID|N|1704,211,552,71|1|?
PROD_TYPE|A|367,286,1167,74|1|?
BRANCH_CODE|N|1892,429,254,74|1|?
BRANCH_NAME|A|682,412,774,72|1|?
DATE|N|2022,581,241,82-1863,581,137,75-1697,581,153,85|1|?
ACCOUNT_NAME|A|217,669,2043,98|1|?
DATEOFINCORP|N|2032,799,228,65-1915,799,117,62-1788,799,127,59|1|?
MAIL_FLAT_NO|AN|266,877,1226,72|1|?
MAIL_ROAD_NAME|AN|266,946,1236,68|1|?
MAIL_LANDMARK|AN|269,1020,1230,72|1|?
MAIL_CITY|A|266,1089,1226,68|1|?
MAIL_DIST|A|266,1157,748,71|1|?
MAIL_STATE|A|1105,1154,595,68|1|?
MAIL_PIN|N|1830,1154,306,68|1|?
MAIL_EMAIL_ID|AN|263,1225,1291,75|1|?
MAIL_MOBILE_NO|N|1759,868,501,61|1|?
MAIL_STD_CODE|N|1759,929,312,72|1|?
MAIL_TEL_R|N|1756,1004,504,72|1|?
MAIL_TEL_O|N|1749,1072,514,72|1|?
PAN|AN|1681,1225,514,59|1|?
FORM_60|C|2198,1232,58,48|1|?
CONSTITUION|C|279,1355,85,62-539,1355,75,59-757,1352,72,62-884,1352,52,55-998,1352,68,55-1310,1352,68,49-1596,1349,65,55-1762,1352,68,49-1905,1352,69,52-2113,1352,62,49-78,1423,61,49-282,1410,78,65-432,1417,68,58-656,1417,78,55-969,1414,71,61-1222,1414,72,55-1391,1414,78,55|1|Sole proprietor?Partnership?LLP?HUF?Private Ltd Company?Public Ltd Company?Society?Trust?NGO/NPO?SHG?Association?Club?University?Government Body?Financial Inst?Bank?JLG?
ACTIVITY|C|221,1498,71,52-400,1498,71,52-552,1495,59,45-702,1498,65,49-881,1495,62,49-1043,1495,69,52-1252,1495,58,42-1473,1495,75,49-1671,1495,65,52-1935,1485,74,59-224,1563,65,49-734,1553,59,52-1056,1557,62,45|1|Agri?Mfg?Trade?Finance?Bank?Transport?Services?Govt?Real Estate?Stock Broker?Jewels/Gems/Precious Metal dealer?Money Services?Others (specify)?
NAME_AUTH_SIG1|A|97,1713,1327,65|1|?
NAME_AUTH_SIG1_GENDER|C|1521,1716,62,49-1593,1713,55,55-1661,1716,52,46|1|Male?Female?Third Gender?
NAME_AUTH_SIG1_CUSTID|N|1765,1703,495,68|1|?
NAME_AUTH_SIG2|A|100,1778,1327,75|1|?
NAME_AUTH_SIG2_GENDER|C|1528,1794,49,39-1596,1784,59,52-1668,1788,52,52|1|Male?Female?Third Gender?
NAME_AUTH_SIG2_CUSTID|N|1765,1771,495,75|1|?
NAME_AUTH_SIG3|A|104,1853,1320,71|1|?
NAME_AUTH_SIG3_GENDER|C|1525,1859,55,52-1600,1859,45,52-1665,1862,52,46|1|Male?Female?Third Gender?
NAME_AUTH_SIG3_CUSTID|N|1765,1843,491,78|1|?
NAME_AUTH_SIG4|A|100,1927,1324,69|1|?
NAME_AUTH_SIG4_GENDER|C|1525,1934,52,49-1593,1940,52,39-1658,1931,62,48|1|Male?Female?Third Gender?
NAME_AUTH_SIG4_CUSTID|N|1765,1914,495,75|1|?
NAME_AUTH_SIG5|A|97,1992,1324,75|1|?
NAME_AUTH_SIG5_GENDER|C|1525,2002,55,55-1587,2005,65,52-1665,2002,52,52|1|Male?Female?Third Gender?
NAME_AUTH_SIG5_CUSTID|N|1765,1986,495,78|1|?
IP_ACTIVITY_PROOF|A|344,2330,553,59|1|?
IP_ACTIVITY_PROOF_PLACE|A|416,2395,478,52|1|?
IP_ACTIVITY_PROOF_NO|N|985,2347,1258,61|1|?
IP_ADDR_PROOF|A|367,2457,517,56|1|?
IP_ADDR_PROOF_PLACE|A|422,2516,465,52|1|?
IP_ADDR_PROOF_NO|N|991,2480,1256,68|1|?
CIN_NO|AN|331,2600,800,69|1|?
TIN_NO|AN|1450,2594,800,68|1|?
ACC_OPTION|C|156,2743,65,49-156,2818,58,52|1|Savings?Current?
